dataset,split_type,mAP50_95,experiment,train_datasets
20240624_mc38_10x_caged_4_class,test_ds,0.578,7 Nodes (custom),"20240703_neuron-adhered_10x_caged_4_class,20250917_moc22-adhered_10x_caged_4_class,20240509_hela-adhered_10x_caged_4_class,240213_imr90_multichannel_overlay_4_class,20241212_preadipocytes-adhered_10x_uncaged_4_class,20240515_DC-adhered_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
20240624_mc38_10x_uncaged_4_class,test_ds,0.653,7 Nodes (custom),"20240703_neuron-adhered_10x_caged_4_class,20250917_moc22-adhered_10x_caged_4_class,20240509_hela-adhered_10x_caged_4_class,240213_imr90_multichannel_overlay_4_class,20241212_preadipocytes-adhered_10x_uncaged_4_class,20240515_DC-adhered_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
20240625_mc38_10x_caged_4_class,test_ds,0.558,7 Nodes (custom),"20240703_neuron-adhered_10x_caged_4_class,20250917_moc22-adhered_10x_caged_4_class,20240509_hela-adhered_10x_caged_4_class,240213_imr90_multichannel_overlay_4_class,20241212_preadipocytes-adhered_10x_uncaged_4_class,20240515_DC-adhered_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
20240703_neuron-adhered_10x_caged_4_class,test_ds,0.632,7 Nodes (custom),"20240703_neuron-adhered_10x_caged_4_class,20250917_moc22-adhered_10x_caged_4_class,20240509_hela-adhered_10x_caged_4_class,240213_imr90_multichannel_overlay_4_class,20241212_preadipocytes-adhered_10x_uncaged_4_class,20240515_DC-adhered_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
20240704_neuron-adhered_10x_caged_4_class,test_ds,0.595,7 Nodes (custom),"20240703_neuron-adhered_10x_caged_4_class,20250917_moc22-adhered_10x_caged_4_class,20240509_hela-adhered_10x_caged_4_class,240213_imr90_multichannel_overlay_4_class,20241212_preadipocytes-adhered_10x_uncaged_4_class,20240515_DC-adhered_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
20240905_u87-adhered_10x_caged_4_class,test_ds,0.645,7 Nodes (custom),"20240703_neuron-adhered_10x_caged_4_class,20250917_moc22-adhered_10x_caged_4_class,20240509_hela-adhered_10x_caged_4_class,240213_imr90_multichannel_overlay_4_class,20241212_preadipocytes-adhered_10x_uncaged_4_class,20240515_DC-adhered_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
20240924_enteric-glia-adhered_10x_uncaged_4_class,test_ds,0.82,7 Nodes (custom),"20240703_neuron-adhered_10x_caged_4_class,20250917_moc22-adhered_10x_caged_4_class,20240509_hela-adhered_10x_caged_4_class,240213_imr90_multichannel_overlay_4_class,20241212_preadipocytes-adhered_10x_uncaged_4_class,20240515_DC-adhered_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
20241212_preadipocytes-adhered_10x_uncaged_4_class,test_ds,0.438,7 Nodes (custom),"20240703_neuron-adhered_10x_caged_4_class,20250917_moc22-adhered_10x_caged_4_class,20240509_hela-adhered_10x_caged_4_class,240213_imr90_multichannel_overlay_4_class,20241212_preadipocytes-adhered_10x_uncaged_4_class,20240515_DC-adhered_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
20250108_neuron-adhered_10x_uncaged_4_class,test_ds,0.187,7 Nodes (custom),"20240703_neuron-adhered_10x_caged_4_class,20250917_moc22-adhered_10x_caged_4_class,20240509_hela-adhered_10x_caged_4_class,240213_imr90_multichannel_overlay_4_class,20241212_preadipocytes-adhered_10x_uncaged_4_class,20240515_DC-adhered_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
20250227_preadipocytes-adhered_10x_caged_4_class,test_ds,0.351,7 Nodes (custom),"20240703_neuron-adhered_10x_caged_4_class,20250917_moc22-adhered_10x_caged_4_class,20240509_hela-adhered_10x_caged_4_class,240213_imr90_multichannel_overlay_4_class,20241212_preadipocytes-adhered_10x_uncaged_4_class,20240515_DC-adhered_10x_caged_4_class,20240924_enteric-glia-adhered_10x_uncaged_4_class"
