Model,Dataset,Class,mAP@50,mAP@50-95,TP,FP,FN,Precision,Recall,F1
rf_detr_seg,20240314_imr90-suspension_10x_caged_4_class,cell,0.9302787450754119,0.7292368820792724,869.0,227.0,47.0,0.7928832116788321,0.9486899563318777,0.8638170974155069
rf_detr_seg,20240314_imr90-suspension_10x_caged_4_class,bead,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
rf_detr_seg,20240314_imr90-suspension_10x_caged_4_class,cell-adhered,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
rf_detr_seg,20240314_imr90-suspension_10x_caged_4_class,soma,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolov26,20240314_imr90-suspension_10x_caged_4_class,all,0.8916444123644325,0.7031479874711256,,,,,,
yolov26,20240314_imr90-suspension_10x_caged_4_class,cell,0.8916444123644325,0.7031479874711256,827.0,105.0,89.0,0.8873390557939914,0.9028384279475983,0.8950216450216449
yolov26,20240314_imr90-suspension_10x_caged_4_class,bead,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolov26,20240314_imr90-suspension_10x_caged_4_class,cell-adhered,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolov26,20240314_imr90-suspension_10x_caged_4_class,soma,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolo,20240314_imr90-suspension_10x_caged_4_class,all,0.9208552947014522,0.7080680202270678,,,,,,
yolo,20240314_imr90-suspension_10x_caged_4_class,cell,0.9208552947014522,0.7080680202270678,853.0,142.0,63.0,0.857286432160804,0.9312227074235808,0.8927263212977499
yolo,20240314_imr90-suspension_10x_caged_4_class,bead,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolo,20240314_imr90-suspension_10x_caged_4_class,cell-adhered,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolo,20240314_imr90-suspension_10x_caged_4_class,soma,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
rf_detr_seg,20250108_neuron-adhered_10x_uncaged_4_class,all,0.8174532581767354,0.53582552443974,,,,,,
rf_detr_seg,20250108_neuron-adhered_10x_uncaged_4_class,cell,0.690655374436049,0.4052035401585845,795.0,879.0,163.0,0.47491039426523296,0.8298538622129437,0.6041033434650457
rf_detr_seg,20250108_neuron-adhered_10x_uncaged_4_class,bead,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
rf_detr_seg,20250108_neuron-adhered_10x_uncaged_4_class,cell-adhered,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
rf_detr_seg,20250108_neuron-adhered_10x_uncaged_4_class,soma,0.9442511419174218,0.6664475087208955,6981.0,1770.0,251.0,0.7977374014398354,0.9652931415929203,0.8735531502221109
yolov26,20250108_neuron-adhered_10x_uncaged_4_class,all,0.7158187496898323,0.5078805558851269,,,,,,
yolov26,20250108_neuron-adhered_10x_uncaged_4_class,cell,0.5645787246202855,0.3645651594837887,585.0,181.0,373.0,0.7637075718015666,0.6106471816283925,0.6786542923433874
yolov26,20250108_neuron-adhered_10x_uncaged_4_class,bead,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolov26,20250108_neuron-adhered_10x_uncaged_4_class,cell-adhered,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolov26,20250108_neuron-adhered_10x_uncaged_4_class,soma,0.8670587747593789,0.6511959522864653,6421.0,611.0,811.0,0.9131114903299203,0.8878595132743363,0.9003084688726865
yolo,20250108_neuron-adhered_10x_uncaged_4_class,all,0.7506466209519213,0.5146646129969726,,,,,,
yolo,20250108_neuron-adhered_10x_uncaged_4_class,cell,0.5976411777770256,0.3596243250117611,641.0,251.0,317.0,0.718609865470852,0.6691022964509394,0.6929729729729729
yolo,20250108_neuron-adhered_10x_uncaged_4_class,bead,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolo,20250108_neuron-adhered_10x_uncaged_4_class,cell-adhered,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolo,20250108_neuron-adhered_10x_uncaged_4_class,soma,0.9036520641268169,0.6697049009821843,6663.0,778.0,569.0,0.8954441607310846,0.9213219026548672,0.9081987323655694
rf_detr_seg,20240624_mc38_10x_caged_4_class,all,0.8529435138571821,0.6229455765186915,,,,,,
rf_detr_seg,20240624_mc38_10x_caged_4_class,cell,0.9642033916534921,0.7369590651122191,8155.0,1028.0,183.0,0.8880540128498312,0.9780522907171983,0.9308829404714343
rf_detr_seg,20240624_mc38_10x_caged_4_class,bead,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
rf_detr_seg,20240624_mc38_10x_caged_4_class,cell-adhered,0.7416836360608723,0.5089320879251639,640.0,567.0,120.0,0.5302402651201326,0.8421052631578947,0.6507371631926792
rf_detr_seg,20240624_mc38_10x_caged_4_class,soma,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolov26,20240624_mc38_10x_caged_4_class,all,0.7827298854719943,0.5974384561095115,,,,,,
yolov26,20240624_mc38_10x_caged_4_class,cell,0.943109835458751,0.7481296835602077,7982.0,696.0,356.0,0.9197971882922332,0.9573039098105062,0.9381758345086977
yolov26,20240624_mc38_10x_caged_4_class,bead,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolov26,20240624_mc38_10x_caged_4_class,cell-adhered,0.6223499354852372,0.44674722865881544,534.0,243.0,226.0,0.6872586872586872,0.7026315789473684,0.6948601171112556
yolov26,20240624_mc38_10x_caged_4_class,soma,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolo,20240624_mc38_10x_caged_4_class,all,0.7991573732181619,0.5909714785055724,,,,,,
yolo,20240624_mc38_10x_caged_4_class,cell,0.9535831311554256,0.7396837177165138,8016.0,508.0,322.0,0.9404035664007508,0.961381626289278,0.9507768947930259
yolo,20240624_mc38_10x_caged_4_class,bead,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolo,20240624_mc38_10x_caged_4_class,cell-adhered,0.6447316152808984,0.44225923929463123,558.0,284.0,202.0,0.66270783847981,0.7342105263157894,0.696629213483146
yolo,20240624_mc38_10x_caged_4_class,soma,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
rf_detr_seg,20240228_k562_10x_caged_4_class,all,0.9780692296953578,0.7408889286360554,,,,,,
rf_detr_seg,20240228_k562_10x_caged_4_class,cell,0.9780692296953578,0.7408889286360554,1983.0,202.0,27.0,0.9075514874141877,0.9865671641791045,0.9454112038140644
rf_detr_seg,20240228_k562_10x_caged_4_class,bead,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
rf_detr_seg,20240228_k562_10x_caged_4_class,cell-adhered,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
rf_detr_seg,20240228_k562_10x_caged_4_class,soma,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolov26,20240228_k562_10x_caged_4_class,all,0.9568573250682098,0.7406120062766494,,,,,,
yolov26,20240228_k562_10x_caged_4_class,cell,0.9568573250682098,0.7406120062766494,1948.0,164.0,62.0,0.9223484848484849,0.9691542288557214,0.9451722464822901
yolov26,20240228_k562_10x_caged_4_class,bead,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolov26,20240228_k562_10x_caged_4_class,cell-adhered,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
yolov26,20240228_k562_10x_caged_4_class,soma,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
