dataset,split_type,metric_type,class,P,R,F1,mAP50,mAP50_95
20250227_preadipocytes-adhered_10x_caged_4_class,test_ds,SEGM,all,0.731,0.735,0.731,0.752,0.506
20250227_preadipocytes-adhered_10x_caged_4_class,test_ds,SEGM,cell,0.568,0.65,0.606,0.593,0.398
20250227_preadipocytes-adhered_10x_caged_4_class,test_ds,SEGM,cell-adhered,0.895,0.82,0.856,0.911,0.615
20250305_neuron-adhered_10x_uncaged_4_class,test_ds,BBOX,all,0.965,0.945,0.955,0.979,0.728
20250305_neuron-adhered_10x_uncaged_4_class,test_ds,BBOX,cell,0.961,0.94,0.95,0.98,0.741
20250305_neuron-adhered_10x_uncaged_4_class,test_ds,BBOX,soma,0.969,0.95,0.959,0.978,0.715
20250305_neuron-adhered_10x_uncaged_4_class,test_ds,SEGM,all,0.969,0.945,0.957,0.98,0.722
20250305_neuron-adhered_10x_uncaged_4_class,test_ds,SEGM,cell,0.959,0.94,0.949,0.979,0.703
20250305_neuron-adhered_10x_uncaged_4_class,test_ds,SEGM,soma,0.98,0.95,0.965,0.981,0.741
20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,test_ds,BBOX,all,0.732,0.765,0.748,0.772,0.592
20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,test_ds,BBOX,cell,0.576,0.61,0.592,0.601,0.512
20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,test_ds,BBOX,cell-adhered,0.888,0.92,0.904,0.943,0.671
20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,test_ds,SEGM,all,0.749,0.78,0.764,0.786,0.609
20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,test_ds,SEGM,cell,0.576,0.61,0.592,0.601,0.519
20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,test_ds,SEGM,cell-adhered,0.922,0.95,0.936,0.971,0.7
20250917_moc22-adhered_10x_caged_4_class,test_ds,BBOX,all,0.747,0.75,0.747,0.806,0.643
20250917_moc22-adhered_10x_caged_4_class,test_ds,BBOX,cell,0.646,0.71,0.677,0.723,0.575
20250917_moc22-adhered_10x_caged_4_class,test_ds,BBOX,cell-adhered,0.848,0.79,0.818,0.889,0.711
20250917_moc22-adhered_10x_caged_4_class,test_ds,SEGM,all,0.754,0.755,0.753,0.809,0.64
20250917_moc22-adhered_10x_caged_4_class,test_ds,SEGM,cell,0.646,0.71,0.677,0.723,0.57
20250917_moc22-adhered_10x_caged_4_class,test_ds,SEGM,cell-adhered,0.861,0.8,0.829,0.896,0.711
20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,test_ds,BBOX,all,0.85,0.87,0.859,0.921,0.737
20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,test_ds,BBOX,cell,0.804,0.86,0.831,0.898,0.748
20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,test_ds,BBOX,cell-adhered,0.896,0.88,0.888,0.943,0.725
20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,test_ds,SEGM,all,0.855,0.875,0.865,0.925,0.73
20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,test_ds,SEGM,cell,0.804,0.86,0.831,0.898,0.741
20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,test_ds,SEGM,cell-adhered,0.906,0.89,0.898,0.951,0.72
231212_imr90_multichannel_overlay_4_class,test_ds,BBOX,all,0.952,0.905,0.928,0.963,0.813
231212_imr90_multichannel_overlay_4_class,test_ds,BBOX,cell,0.949,0.87,0.908,0.955,0.759
