dataset,split_type,metric_type,class,P,R,F1,mAP50,mAP50_95
20241212_preadipocytes-adhered_10x_uncaged_4_class,test_ds,BBOX,cell-adhered,0.351,0.34,0.345,0.242,0.097
20241212_preadipocytes-adhered_10x_uncaged_4_class,test_ds,SEGM,all,0.265,0.295,0.275,0.149,0.064
20241212_preadipocytes-adhered_10x_uncaged_4_class,test_ds,SEGM,cell,0.182,0.27,0.217,0.095,0.05
20241212_preadipocytes-adhered_10x_uncaged_4_class,test_ds,SEGM,cell-adhered,0.347,0.32,0.333,0.204,0.078
20250108_neuron-adhered_10x_uncaged_4_class,test_ds,BBOX,all,0.071,0.265,0.112,0.074,0.034
20250108_neuron-adhered_10x_uncaged_4_class,test_ds,BBOX,cell,0.142,0.53,0.224,0.148,0.068
20250108_neuron-adhered_10x_uncaged_4_class,test_ds,BBOX,soma,0.0,0.0,0.0,0.0,0.0
20250108_neuron-adhered_10x_uncaged_4_class,test_ds,SEGM,all,0.07,0.26,0.111,0.073,0.035
20250108_neuron-adhered_10x_uncaged_4_class,test_ds,SEGM,cell,0.141,0.52,0.221,0.145,0.069
20250108_neuron-adhered_10x_uncaged_4_class,test_ds,SEGM,soma,0.0,0.0,0.0,0.0,0.0
20250227_preadipocytes-adhered_10x_caged_4_class,test_ds,BBOX,all,0.402,0.355,0.376,0.265,0.128
20250227_preadipocytes-adhered_10x_caged_4_class,test_ds,BBOX,cell,0.422,0.41,0.416,0.289,0.152
20250227_preadipocytes-adhered_10x_caged_4_class,test_ds,BBOX,cell-adhered,0.382,0.3,0.336,0.241,0.104
20250227_preadipocytes-adhered_10x_caged_4_class,test_ds,SEGM,all,0.356,0.33,0.342,0.217,0.111
20250227_preadipocytes-adhered_10x_caged_4_class,test_ds,SEGM,cell,0.416,0.41,0.413,0.285,0.156
20250227_preadipocytes-adhered_10x_caged_4_class,test_ds,SEGM,cell-adhered,0.295,0.25,0.271,0.149,0.065
20250305_neuron-adhered_10x_uncaged_4_class,test_ds,BBOX,all,0.257,0.23,0.243,0.16,0.054
20250305_neuron-adhered_10x_uncaged_4_class,test_ds,BBOX,cell,0.513,0.46,0.485,0.32,0.108
20250305_neuron-adhered_10x_uncaged_4_class,test_ds,BBOX,soma,0.0,0.0,0.0,0.0,0.0
20250305_neuron-adhered_10x_uncaged_4_class,test_ds,SEGM,all,0.214,0.18,0.195,0.105,0.034
20250305_neuron-adhered_10x_uncaged_4_class,test_ds,SEGM,cell,0.427,0.36,0.391,0.209,0.068
20250305_neuron-adhered_10x_uncaged_4_class,test_ds,SEGM,soma,0.0,0.0,0.0,0.0,0.0
20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,test_ds,BBOX,all,0.631,0.745,0.678,0.664,0.44
20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,test_ds,BBOX,cell,0.412,0.61,0.492,0.422,0.327
20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,test_ds,BBOX,cell-adhered,0.851,0.88,0.865,0.906,0.553
20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,test_ds,SEGM,all,0.649,0.765,0.697,0.685,0.473
20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,test_ds,SEGM,cell,0.412,0.61,0.492,0.424,0.343
20250820_c8d1a_astrocytes-adherent_10x_caged_4_class,test_ds,SEGM,cell-adhered,0.885,0.92,0.902,0.947,0.604
20250917_moc22-adhered_10x_caged_4_class,test_ds,BBOX,all,0.443,0.52,0.455,0.383,0.244
20250917_moc22-adhered_10x_caged_4_class,test_ds,BBOX,cell,0.228,0.49,0.311,0.231,0.165
20250917_moc22-adhered_10x_caged_4_class,test_ds,BBOX,cell-adhered,0.658,0.55,0.599,0.535,0.322
20250917_moc22-adhered_10x_caged_4_class,test_ds,SEGM,all,0.47,0.49,0.463,0.397,0.243
20250917_moc22-adhered_10x_caged_4_class,test_ds,SEGM,cell,0.244,0.43,0.311,0.231,0.168
20250917_moc22-adhered_10x_caged_4_class,test_ds,SEGM,cell-adhered,0.695,0.55,0.614,0.562,0.318
20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,test_ds,BBOX,all,0.652,0.72,0.677,0.662,0.454
20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,test_ds,BBOX,cell,0.546,0.75,0.632,0.62,0.465
20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,test_ds,BBOX,cell-adhered,0.758,0.69,0.722,0.703,0.442
20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,test_ds,SEGM,all,0.66,0.725,0.684,0.674,0.466
20260316_a549-tomm20-gfp-adhered_10x_caged_at_4x_4_class,test_ds,SEGM,cell,0.546,0.75,0.632,0.62,0.481
